MBP,SBP,DBP,HR
64,96,51,82
64,96,51,80
64,97,51,79
64,97,51,79
64,97,52,78
64,98,51,77
64,98,51,74
64,97,51,77
64,97,51,78
64,97,51,78
64,97,51,77
64,97,51,77
64,97,51,78
64,97,51,79
66,98,52,79
66,99,53,80
67,99,54,78
67,100,54,71
67,100,54,57
67,100,54,63
66,100,53,65
66,100,53,65
65,100,52,65
65,99,52,64
64,98,51,64
63,98,51,63
63,97,50,64
62,96,50,65
62,96,49,66
61,95,49,67
61,94,48,67
60,93,48,68
60,93,48,69
60,92,48,77
61,92,48,81
61,92,49,85
62,93,49,83
62,93,50,81
63,94,50,78
63,94,50,77
63,95,50,76
63,95,50,75
63,95,50,77
63,95,50,77
63,95,50,76
63,96,51,76
64,96,51,79
65,97,52,83
65,98,52,79
65,98,52,75
65,98,52,74
65,98,53,75
65,99,52,73
65,98,52,72
65,98,52,73
65,98,52,74
64,98,51,74
64,97,51,73
64,97,51,75
64,96,51,78
64,96,51,78
64,96,51,81
65,97,52,82
65,98,52,80
66,98,52,77
66,99,53,73
66,99,53,73
66,99,53,74
66,99,53,75
66,99,53,78
66,99,53,79
66,99,53,78
66,99,53,75
66,99,53,76
67,99,53,78
67,99,53,78
66,98,53,78
64,95,51,81
63,93,51,87
62,90,50,91
62,90,50,92
62,90,50,93
63,90,50,94
63,91,50,94
63,93,51,91
63,94,50,91
63,94,50,92
64,96,51,96
64,96,51,95
64,96,50,88
63,96,50,88
63,97,50,89
63,97,50,89
63,97,50,89
64,97,50,90
64,97,51,88
64,97,51,87
64,97,51,89
64,97,51,92
64,97,51,94
64,96,51,94
64,96,51,92
63,96,51,90
63,95,51,89
63,94,50,90
62,94,50,92
62,93,50,95
62,92,50,95
62,92,50,91
61,91,49,91
61,91,49,94
61,90,49,95
59,90,48,82
58,88,47,70
57,88,46,66
57,87,46,69
56,87,45,70
56,86,45,79
56,86,45,95
56,86,45,99
57,87,45,101
57,88,46,93
58,90,46,80
57,90,45,75
57,89,45,75
56,89,45,74
55,87,44,74
56,87,44,75
55,87,44,76
55,87,44,77
55,87,44,76
56,87,44,75
55,86,44,75
54,85,44,75
55,85,44,76
55,85,44,77
55,84,44,80
55,85,44,82
55,84,44,85
55,84,44,86
56,85,45,87
56,86,45,87
57,86,47,88
57,86,47,87
57,86,47,88
57,86,47,87
57,86,47,89
58,87,48,90
58,86,48,93
58,87,48,93
58,87,48,94
59,87,49,94
59,88,49,94
60,89,50,93
61,89,51,92
61,90,51,91
61,89,51,92
61,89,51,93
62,91,52,91
63,91,52,88
63,92,52,86
63,92,52,83
63,93,52,82
63,94,51,79
63,94,51,78
63,94,51,79
63,94,51,80
63,94,50,82
63,93,51,84
63,93,51,87
63,94,51,89
64,94,51,89
64,94,52,90
64,94,52,91
65,95,53,92
65,95,53,91
65,95,54,92
66,95,54,94
65,95,55,94
64,93,53,95
65,93,54,101
66,94,55,106
68,96,56,106
69,97,56,101
69,97,56,99
69,97,57,100
69,98,57,96
70,98,57,96
69,98,57,98
69,97,57,99
69,97,57,97
68,97,56,92
68,96,55,93
67,96,55,93
67,95,54,89
67,95,54,89
66,94,54,90
66,94,54,89
66,93,53,88
65,92,53,89
65,92,53,90
65,91,52,89
64,91,52,89
64,91,52,90
63,90,51,87
63,90,51,86
63,90,51,87
62,89,51,86
62,88,50,83
62,88,50,84
61,88,50,84
61,87,49,83
61,86,49,83
60,86,48,85
60,86,48,85
60,85,48,84
60,85,48,85
60,85,48,85
60,85,48,85
59,85,48,86
59,85,48,85
59,85,47,84
59,85,47,84
59,85,47,85
59,85,47,85
59,85,47,84
59,85,47,85
59,85,47,84
59,85,47,83
59,85,47,83
59,86,47,82
59,86,47,81
59,86,47,79
59,86,47,80
59,87,47,79
59,87,47,78
59,86,47,79
59,86,47,84
59,86,47,84
59,86,47,83
59,86,47,84
59,86,47,85
59,86,47,84
59,86,47,82
59,86,47,82
59,86,47,81
58,85,47,79
58,84,46,78
57,84,46,79
57,84,45,82
58,84,46,84
58,84,46,88
57,84,46,90
56,83,44,88
55,83,44,87
54,83,42,89
54,84,42,90
53,85,41,92
53,85,41,92
53,85,41,95
53,85,40,95
53,85,40,94
52,85,40,93
52,85,40,91
52,84,40,86
52,84,40,85
52,84,40,86
52,84,40,85
52,83,40,83
52,83,40,84
52,83,40,85
52,83,40,84
53,83,40,84
52,83,41,86
53,83,41,86
53,83,41,84
53,83,42,83
53,84,42,82
53,84,42,81
53,84,42,83
55,85,43,87
55,85,43,86
56,86,44,86
56,86,44,85
56,86,44,84
57,87,45,83
57,87,45,85
57,87,45,85
57,87,45,85
58,88,46,83
58,88,46,84
58,89,47,84
